Detection_date,Length_at_tagging
7/29/2016,73
7/29/2016,75
7/30/2016,62
7/31/2016,68
7/31/2016,63
7/31/2016,68
8/1/2016,64
8/1/2016,58
8/2/2016,62
8/2/2016,69
8/2/2016,64
8/2/2016,62
8/3/2016,65
8/3/2016,64
8/3/2016,67
8/3/2016,63
8/4/2016,61
8/5/2016,64
8/6/2016,68
8/7/2016,75
8/8/2016,64
8/9/2016,68
8/9/2016,60
8/9/2016,76
8/9/2016,70
8/10/2016,62
8/10/2016,70
8/10/2016,64
8/10/2016,72
8/10/2016,66
8/10/2016,68
8/10/2016,64
8/10/2016,72
8/10/2016,66
8/10/2016,78
8/10/2016,64
8/10/2016,65
8/10/2016,66
8/10/2016,54
8/10/2016,64
8/11/2016,64
8/11/2016,55
8/11/2016,68
8/11/2016,58
8/11/2016,61
8/11/2016,83
8/11/2016,72
8/12/2016,72
8/12/2016,73
8/12/2016,65
8/12/2016,73
8/12/2016,57
8/12/2016,59
8/12/2016,64
8/12/2016,61
8/13/2016,55
8/13/2016,72
8/13/2016,72
8/14/2016,65
8/14/2016,63
8/14/2016,60
8/14/2016,58
8/15/2016,68
8/21/2016,76
8/21/2016,64
8/21/2016,63
8/21/2016,64
8/23/2016,62
8/23/2016,65
8/24/2016,68
8/24/2016,63
8/24/2016,63
8/25/2016,65
8/25/2016,67
8/28/2016,74
8/30/2016,69
8/30/2016,63
8/30/2016,71
8/31/2016,74
9/3/2016,64
9/4/2016,71
9/4/2016,64
9/4/2016,61
9/5/2016,63
9/5/2016,74
9/5/2016,63
9/5/2016,67
9/7/2016,66
9/9/2016,70
9/10/2016,62
9/14/2016,65
9/15/2016,62
9/15/2016,68
9/15/2016,68
9/17/2016,69
9/18/2016,63
9/19/2016,57
9/20/2016,67
9/21/2016,60
9/21/2016,79
9/22/2016,73
9/22/2016,76
9/22/2016,68
9/22/2016,57
9/22/2016,78
9/23/2016,79
9/23/2016,72
9/23/2016,75
9/24/2016,66
9/24/2016,65
9/27/2016,72
9/27/2016,61
9/30/2016,68
10/3/2016,59
10/3/2016,63
10/3/2016,57
10/3/2016,72
10/3/2016,63
10/3/2016,67
10/4/2016,65
10/5/2016,65
10/5/2016,66
10/6/2016,66
10/8/2016,67
10/8/2016,81
10/10/2016,77
10/12/2016,66
10/13/2016,60
10/13/2016,74
10/14/2016,77
10/14/2016,65
10/14/2016,62
10/14/2016,67
10/14/2016,64
10/14/2016,62
10/14/2016,62
10/14/2016,68
10/14/2016,71
10/14/2016,66
10/14/2016,68
10/14/2016,81
10/14/2016,66
10/14/2016,69
10/14/2016,65
10/14/2016,60
10/14/2016,63
10/14/2016,69
10/14/2016,75
10/14/2016,65
10/14/2016,68
10/14/2016,75
10/14/2016,60
10/14/2016,60
10/14/2016,73
10/14/2016,73
10/14/2016,70
10/14/2016,71
10/14/2016,61
10/14/2016,73
10/14/2016,69
10/15/2016,69
10/15/2016,73
10/15/2016,60
10/15/2016,70
10/15/2016,63
10/15/2016,68
10/15/2016,73
10/15/2016,84
10/15/2016,76
10/15/2016,70
10/15/2016,75
10/15/2016,60
10/15/2016,67
10/15/2016,65
10/15/2016,72
10/15/2016,61
10/15/2016,59
10/15/2016,73
10/15/2016,75
10/15/2016,68
10/15/2016,76
10/15/2016,71
10/15/2016,61
10/15/2016,72
10/15/2016,66
10/15/2016,58
10/15/2016,73
10/15/2016,74
10/15/2016,66
10/16/2016,74
10/16/2016,61
10/16/2016,67
10/16/2016,72
10/16/2016,67
10/16/2016,77
10/16/2016,65
10/16/2016,71
10/16/2016,60
10/16/2016,68
10/16/2016,68
10/16/2016,72
10/16/2016,72
10/16/2016,74
10/16/2016,70
10/16/2016,70
10/17/2016,68
10/17/2016,70
10/17/2016,70
10/17/2016,64
10/17/2016,70
10/17/2016,73
10/17/2016,76
10/17/2016,65
10/17/2016,67
10/17/2016,64
10/17/2016,62
10/18/2016,62
10/18/2016,67
10/19/2016,62
10/19/2016,64
10/19/2016,66
10/19/2016,68
10/19/2016,64
10/19/2016,67
10/19/2016,55
10/19/2016,77
10/20/2016,64
10/21/2016,64
10/21/2016,72
10/22/2016,66
10/23/2016,62
10/23/2016,71
10/24/2016,81
10/25/2016,72
10/26/2016,62
10/26/2016,68
10/27/2016,72
10/28/2016,65
10/28/2016,66
10/30/2016,67
10/30/2016,70
10/31/2016,61
10/31/2016,62
11/1/2016,68
11/2/2016,65
11/2/2016,60
11/2/2016,71
11/3/2016,74
11/3/2016,70
11/5/2016,64
11/5/2016,55
11/5/2016,66
11/5/2016,67
11/5/2016,68
11/5/2016,65
11/5/2016,75
11/5/2016,70
11/5/2016,58
11/5/2016,69
11/6/2016,63
11/7/2016,72
11/8/2016,69
11/8/2016,58
11/8/2016,80
11/8/2016,62
11/9/2016,62
11/10/2016,73
11/10/2016,67
11/10/2016,63
11/10/2016,81
11/10/2016,76
11/12/2016,63
11/13/2016,72
11/14/2016,69
11/15/2016,68
11/15/2016,78
11/15/2016,65
11/15/2016,58
11/15/2016,72
11/16/2016,72
11/16/2016,79
11/16/2016,63
11/16/2016,73
11/17/2016,64
11/19/2016,68
11/19/2016,61
11/19/2016,63
11/19/2016,65
11/20/2016,65
11/20/2016,69
11/22/2016,76
11/22/2016,56
11/22/2016,64
11/24/2016,64
11/24/2016,81
11/24/2016,67
11/24/2016,66
11/25/2016,63
11/25/2016,68
11/27/2016,70
11/27/2016,71
11/28/2016,63
11/29/2016,76
11/29/2016,74
11/29/2016,61
11/29/2016,71
12/8/2016,66
12/10/2016,66
12/10/2016,82
12/12/2016,66
12/20/2016,79
12/23/2016,65
12/24/2016,71
12/24/2016,60
12/26/2016,68
12/26/2016,64
12/29/2016,70
12/30/2016,68
12/31/2016,61
12/31/2016,68
12/31/2016,63
1/5/2017,69
1/8/2017,69
1/8/2017,63
1/10/2017,66
1/10/2017,71
1/19/2017,74
1/21/2017,65
1/21/2017,59
1/24/2017,62
1/28/2017,67
1/28/2017,66
2/3/2017,63
2/5/2017,76
2/5/2017,69
2/8/2017,80
2/9/2017,82
2/9/2017,67
2/9/2017,64
2/9/2017,69
2/10/2017,71
2/10/2017,72
2/11/2017,60
2/11/2017,72
2/11/2017,66
2/17/2017,63
2/17/2017,90
2/17/2017,68
2/17/2017,66
2/17/2017,68
2/18/2017,57
2/19/2017,63
2/19/2017,73
2/20/2017,76
2/20/2017,71
2/21/2017,68
2/22/2017,68
2/22/2017,68
2/22/2017,66
2/22/2017,66
2/22/2017,64
2/22/2017,65
2/22/2017,74
2/23/2017,71
2/23/2017,54
2/23/2017,65
2/24/2017,70
2/24/2017,63
2/24/2017,65
2/24/2017,68
2/25/2017,68
2/25/2017,62
2/25/2017,58
2/26/2017,62
2/26/2017,64
2/27/2017,71
3/1/2017,60
3/6/2017,62
3/8/2017,72
3/9/2017,64
3/9/2017,64
3/10/2017,61
3/14/2017,58
3/14/2017,68
3/15/2017,75
3/16/2017,68
3/18/2017,72
3/18/2017,70
3/22/2017,78
3/22/2017,68
3/24/2017,69
3/27/2017,62
3/27/2017,75
4/18/2017,70
4/19/2017,61
4/20/2017,70
5/10/2017,61
5/24/2017,76
